packets_received,bytes_received,packets_transmitted,bytes_transmitted,traffic_type,i_src_host,i_dst_host
70.0,6300.0,70.0,6300.0,1,h2,iot1
756.0,1113672.0,756.0,1113672.0,2,h4,h7
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,h1,h9
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,h2,h8
0.0,0.0,0.0,0.0,0,0,0
744.0,1114192.0,744.0,1114192.0,2,h2,h8
70.0,6300.0,70.0,6300.0,1,h9,h3
731704.0,23603505152.0,731704.0,23603505152.0,3,h7,h1
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h1,h2
80.0,6720.0,80.0,6720.0,1,h5,h9
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,h10,h1
779360.0,24849211392.0,779360.0,24849211392.0,3,h1,h10
669536.0,22145026048.0,669536.0,22145026048.0,3,h6,h4
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h6,h1
764.0,1115032.0,764.0,1115032.0,2,h9,iot1
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h2,h6
70.0,6300.0,70.0,6300.0,1,h1,h10
754.0,1114612.0,754.0,1114612.0,2,h9,h5
756.0,1113672.0,756.0,1113672.0,2,h9,h4
766560.0,24578883584.0,766560.0,24578883584.0,3,h3,h5
673944.0,21635708928.0,673944.0,21635708928.0,3,h1,h7
70.0,6300.0,70.0,6300.0,1,h10,h5
644.0,973728.0,644.0,973728.0,2,h1,h7
0.0,0.0,0.0,0.0,0,0,0
594352.0,18157572096.0,594352.0,18157572096.0,3,h7,h2
70.0,6300.0,70.0,6300.0,1,iot1,h9
672889.0,21080942592.0,672889.0,21080942592.0,3,h1,h3
0.0,0.0,0.0,0.0,0,0,0
857112.0,27146530816.0,857112.0,27146530816.0,3,h9,h3
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h7,h10
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h6,h2
0.0,0.0,0.0,0.0,0,0,0
726280.0,22831394816.0,726280.0,22831394816.0,3,h3,h1
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,h10,h7
80.0,6720.0,80.0,6720.0,1,h4,h3
617603.0,19553320960.0,617603.0,19553320960.0,3,h10,h6
756.0,1113672.0,756.0,1113672.0,2,h10,h9
754.0,1114612.0,754.0,1114612.0,2,h7,h1
747288.0,22830684160.0,747288.0,22830684160.0,3,h3,h7
70.0,6300.0,70.0,6300.0,1,h4,h8
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h7,h10
836736.0,27055007744.0,836736.0,27055007744.0,3,iot1,h2
577220.0,18306519040.0,577220.0,18306519040.0,3,h2,h8
754536.0,23955234816.0,754536.0,23955234816.0,3,h1,h7
664.0,974568.0,664.0,974568.0,2,h9,h4
694096.0,22144550912.0,694096.0,22144550912.0,3,h2,h6
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
552320.0,17491050496.0,552320.0,17491050496.0,3,h6,h4
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
1730.0,2586360.0,1730.0,2586360.0,2,h4,h8
787896.0,24814125056.0,787896.0,24814125056.0,3,h7,h2
756.0,1113672.0,756.0,1113672.0,2,h2,h5
744.0,1114192.0,744.0,1114192.0,2,h2,h5
625401.0,19784128512.0,625401.0,19784128512.0,3,h8,h7
